"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","716","REG-006 - User should not be able to register successfully with an existing account","chromium","2026-09-03","passed","2026-09-03","Register Tests","register.spec.ts","",""
"","921","REG-004 - User should not be able to register successfully when lastName is missing","chromium","2026-09-03","passed","2026-09-03","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1030","LG-006 - User should not be able to log in with credentials that have not been registered","firefox","2026-09-03","passed","2026-09-03","Login Tests","login.spec.ts","",""
"","1143","REG-004 - User should not be able to register successfully when zipcode is missing","chromium","2026-09-03","passed","2026-09-03","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","865","SEA-002 - There should NOT be any item listed if user search for a non-existing product","chromium","2026-09-03","passed","2026-09-03","Search Tests","search.spec.ts","",""
"","807","REG-006 - User should not be able to register successfully with an existing account","firefox","2026-09-03","passed","2026-09-03","Register Tests","register.spec.ts","",""
"","1673","REG-004 - User should not be able to register successfully when address is missing","webkit","2026-09-03","passed","2026-09-03","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1290","REG-004 - User should not be able to register successfully when password is missing","firefox","2026-09-03","passed","2026-09-03","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","2487","REG-001 - User should be able to sign up for a new account successfully","firefox","2026-09-03","passed","2026-09-03","Register Tests","register.spec.ts","",""
"","1281","SEA-002 - There should NOT be any item listed if user search for a non-existing product","firefox","2026-09-03","passed","2026-09-03","Search Tests","search.spec.ts","",""
"","1289","REG-004 - User should not be able to register successfully when city is missing","firefox","2026-09-03","passed","2026-09-03","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","955","LG-003 - User should not be able to login with empty username","webkit","2026-09-03","passed","2026-09-03","Login Tests","login.spec.ts","",""
"","1120","REG-004 - User should not be able to register successfully when lastName is missing","firefox","2026-09-03","passed","2026-09-03","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1452","LG-004 - User should not be able to login with invalid username","firefox","2026-09-03","passed","2026-09-03","Login Tests","login.spec.ts","",""
"","339","REG-005 - User should not be able to register successfully with an invalid Email Address format","chromium","2026-09-03","passed","2026-09-03","Register Tests","register.spec.ts","",""
"","620","REG-005 - User should not be able to register successfully with an invalid Email Address format","webkit","2026-09-03","passed","2026-09-03","Register Tests","register.spec.ts","",""
"","613","REG-002 - User should not be able to register successfully with an empty Name","webkit","2026-09-03","passed","2026-09-03","Register Tests","register.spec.ts","",""
"","1620","REG-004 - User should not be able to register successfully when state is missing","firefox","2026-09-03","passed","2026-09-03","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1718","REG-004 - User should not be able to register successfully when zipcode is missing","webkit","2026-09-03","passed","2026-09-03","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1097","REG-004 - User should not be able to register successfully when password is missing","webkit","2026-09-03","passed","2026-09-03","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
